Numero de point;Latitude;Longitude;Modele;PLUVIOMETRIE moyenne des 17 fichiers;PLUVIO EXCEPTIONNELLE moyenne des 17 fichiers
2286;42,397;9,4684;GWL20;987,8682353;111,7370588
2331;42,6817;-0,0495;GWL20;1568,664118;81,07941176
2332;42,6839;0,0479;GWL20;1574,594118;78,44647059
2333;42,6859;0,1452;GWL20;1521,073529;73,82117647
2334;42,6879;0,2426;GWL20;1510,027647;79,69470588
2335;42,6897;0,3399;GWL20;1551,852941;77,54705882
2336;42,6915;0,4373;GWL20;1667,035294;80,42176471
2337;42,6932;0,5346;GWL20;1618,328824;73,02529412
2338;42,6948;0,632;GWL20;1583,215882;70,71352941
2343;42,7015;1,1189;GWL20;1761,466471;75,70647059
2344;42,7026;1,2163;GWL20;1833,942353;79,16823529
2345;42,7036;1,3137;GWL20;1842,667647;79,26294118
2346;42,7044;1,4111;GWL20;1489,557647;76,18529412
2347;42,7052;1,5086;GWL20;1479,778235;75,32294118
2348;42,706;1,606;GWL20;1468,819412;75,96411765
2349;42,7066;1,7034;GWL20;1389,522353;69,46705882
2350;42,7071;1,8008;GWL20;1306,096471;65,13411765
2351;42,7076;1,8982;GWL20;1335,142353;66,28058824
2352;42,7079;1,9956;GWL20;1427,479412;73,93705882
2353;42,7082;2,093;GWL20;904,7182353;59,67
2354;42,7084;2,1905;GWL20;1247,404706;76,44352941
2355;42,7085;2,2879;GWL20;1202,094118;77,24235294
2356;42,7085;2,3853;GWL20;972,7605882;104,3329412
2357;42,7084;2,4827;GWL20;870,2217647;96,17470588
2358;42,7082;2,5801;GWL20;788,3088235;89,29058824
2359;42,7079;2,6775;GWL20;730,6735294;85,13352941
2360;42,7076;2,775;GWL20;691,8776471;95,80823529
2361;42,7071;2,8724;GWL20;669,4776471;92,71235294
2362;42,7066;2,9698;GWL20;660,9005882;91,82352941
2363;42,706;3,0672;GWL20;648,6858824;91,58235294
2421;42,5178;8,7036;GWL20;668,2711765;56,58117647
2422;42,512;8,8003;GWL20;666,4188235;56,28882353
2423;42,506;8,8971;GWL20;853,7717647;66,19941176
2424;42,5;8,9938;GWL20;1155,739412;89,32352941
2425;42,4939;9,0905;GWL20;994,4311765;73,34411765
2426;42,4877;9,1872;GWL20;767,9147059;74,59058824
2427;42,4814;9,2839;GWL20;793,4388235;79,46529412
2428;42,475;9,3805;GWL20;1041,222353;115,5329412
2429;42,4685;9,4772;GWL20;883,1117647;102,9105882
2430;42,4619;9,5738;GWL20;828,6258824;98,15058824
2473;42,7513;-0,1499;GWL20;1630,739412;79,42235294
2474;42,7535;-0,0524;GWL20;1498,915294;74,53941176
2475;42,7557;0,045;GWL20;1453,842941;70,64294118
2476;42,7577;0,1425;GWL20;1587,308235;72,38117647
2477;42,7597;0,24;GWL20;1559,624706;72,39058824
2478;42,7616;0,3374;GWL20;1551,734118;71,81294118
2479;42,7634;0,4349;GWL20;1290,875882;65,26647059
2480;42,765;0,5324;GWL20;1441,478235;64,96882353
2481;42,7667;0,6299;GWL20;1344,534706;60,90294118
2484;42,7709;0,9224;GWL20;1882,477647;82,92529412
2485;42,7722;1,0199;GWL20;1816,573529;82,83764706
2486;42,7733;1,1174;GWL20;1722,341765;79,43411765
2487;42,7744;1,2149;GWL20;1567,067647;68,19411765
2488;42,7754;1,3125;GWL20;1545,280588;70,31058824
2489;42,7763;1,41;GWL20;1663,086471;74,74647059
2490;42,7771;1,5075;GWL20;1274,244706;66,10941176
2491;42,7778;1,6051;GWL20;1217,171176;64,49705882
2492;42,7784;1,7026;GWL20;1165,511176;62,11
2493;42,779;1,8001;GWL20;1253,632941;66,71058824
2494;42,7794;1,8977;GWL20;1313,582941;69,04058824
2495;42,7798;1,9952;GWL20;1213,48;71,76705882
2496;42,78;2,0927;GWL20;1131,815294;70,07117647
2497;42,7802;2,1903;GWL20;1091,555882;69,76235294
2498;42,7803;2,2878;GWL20;1081,045294;73,41941176
2499;42,7803;2,3854;GWL20;873,4394118;94,76529412
2500;42,7802;2,4829;GWL20;784,2547059;86,17
2501;42,78;2,5804;GWL20;737,9135294;82,18941176
2502;42,7798;2,678;GWL20;705,3335294;81,87176471
2503;42,7794;2,7755;GWL20;713,6752941;95,97058824
2504;42,779;2,873;GWL20;672,5641176;93,37647059
2505;42,7784;2,9706;GWL20;664,8688235;93,44470588
2506;42,7778;3,0681;GWL20;654,5188235;88,11352941
2564;42,5894;8,7114;GWL20;620,9852941;53,91588235
2565;42,5835;8,8083;GWL20;636,3023529;55,03823529
2566;42,5776;8,9052;GWL20;697,7005882;58,30470588
2567;42,5716;9,002;GWL20;768,0776471;64,02058824
2568;42,5654;9,0989;GWL20;756,9588235;60,75352941
